id,number,grade,description
1,1,'LOW','Difficulty of the word is low for level 1'
2,1,'MEDIUM','Difficulty of the word is medium for level 1'
3,1,'HIGHT','Difficulty of the word is hight for level 1'
4,2,'LOW','Difficulty of the word is low for level 2'
5,2,'MEDIUM','Difficulty of the word is medium for level 2'
6,2,'HIGHT','Difficulty of the word is hight for level 2'
7,3,'LOW','Difficulty of the word is low for level 3'
8,3,'MEDIUM','Difficulty of the word is medium for level 3'
9,3,'HIGHT','Difficulty of the word is hight for level 3'
10,4,'LOW','Difficulty of the word is low for level 4'
11,4,'MEDIUM','Difficulty of the word is medium for level 4'
12,4,'HIGHT','Difficulty of the word is hight for level 4'
13,5,'LOW','Difficulty of the word is low for level 5'
14,5,'MEDIUM','Difficulty of the word is medium for level 5'
15,5,'HIGHT','Difficulty of the word is hight for level 5'
16,6,'LOW','Difficulty of the word is low for level 6'
17,6,'MEDIUM','Difficulty of the word is medium for level 6'
18,6,'HIGHT','Difficulty of the word is hight for level 6'
19,7,'LOW','Difficulty of the word is low for level 7'
20,7,'MEDIUM','Difficulty of the word is medium for level 7'
21,7,'HIGHT','Difficulty of the word is hight for level 7'
22,8,'LOW','Difficulty of the word is low for level 8'
23,8,'MEDIUM','Difficulty of the word is medium for level 8'
24,8,'HIGHT','Difficulty of the word is hight for level 8'
25,9,'LOW','Difficulty of the word is low for level 9'
26,9,'MEDIUM','Difficulty of the word is medium for level 9'
27,9,'HIGHT','Difficulty of the word is hight for level 9'
28,10,'LOW','Difficulty of the word is low for level 10'
29,10,'MEDIUM','Difficulty of the word is medium for level 10'
30,10,'HIGHT','Difficulty of the word is hight for level 10'
31,11,'LOW','Difficulty of the word is low for level 11'
32,11,'MEDIUM','Difficulty of the word is medium for level 11'
33,11,'HIGHT','Difficulty of the word is hight for level 11'
34,12,'LOW','Difficulty of the word is low for level 12'
35,12,'MEDIUM','Difficulty of the word is medium for level 12'
36,12,'HIGHT','Difficulty of the word is hight for level 12'
